plots:	304
Latitude:	53.0902936541
Longitude:	13.6337037671

266. plot:	SEW12
category:	Schorfheide Wald
Latitude:	53.0883300835
Longitude:	13.6982632545

267. plot:	SEW13
category:	Schorfheide Wald
Latitude:	53.0163657036
Longitude:	13.8639279627

268. plot:	SEW14
category:	Schorfheide Wald
Latitude:	52.9179136611
Longitude:	13.7521735271

269. plot:	SEW15
category:	Schorfheide Wald
Latitude:	52.914542078
Longitude:	13.7375525556

270. plot:	SEW16
category:	Schorfheide Wald
Latitude:	53.0765831695
Longitude:	13.8639856255

271. plot:	SEW17
category:	Schorfheide Wald
Latitude:	52.9423507679
Longitude:	13.8274870493

272. plot:	SEW18
category:	Schorfheide Wald
Latitude:	52.8624230856
Longitude:	13.9172479943

273. plot:	SEW19
category:	Schorfheide Wald
Latitude:	53.0939848778
Longitude:	13.6350797244

274. plot:	SEW20
category:	Schorfheide Wald
Latitude:	53.0886055083
Longitude:	13.6353842203

275. plot:	SEW21
category:	Schorfheide Wald
Latitude:	52.9155883093
Longitude:	13.740450917

276. plot:	SEW22
category:	Schorfheide Wald
Latitude:	53.0601385484
Longitude:	13.9140747207

277. plot:	SEW23
category:	Schorfheide Wald
Latitude:	52.9489729846
Longitude:	13.7791918682

278. plot:	SEW24
category:	Schorfheide Wald
Latitude:	52.8897190116
Longitude:	13.9671737446

279. plot:	SEW25
category:	Schorfheide Wald
Latitude:	52.9209815366
Longitude:	13.7610957942

280. plot:	SEW26
category:	Schorfheide Wald
Latitude:	52.9174012798
Longitude:	13.7461817871

281. plot:	SEW27
category:	Schorfheide Wald
Latitude:	52.8899546096
Longitude:	14.0010438422

282. plot:	SEW28
category:	Schorfheide Wald
Latitude:	52.883956729
Longitude:	13.6640414169

283. plot:	SEW29
category:	Schorfheide Wald
Latitude:	53.0172391815
Longitude:	13.8622360487

284. plot:	SEW30
category:	Schorfheide Wald
Latitude:	53.06213691
Longitude:	13.9223631143

285. plot:	SEW31
category:	Schorfheide Wald
Latitude:	52.8810775398
Longitude:	13.9033696983

286. plot:	SEW32
category:	Schorfheide Wald
Latitude:	53.0627722974
Longitude:	13.9270461979

287. plot:	SEW33
category:	Schorfheide Wald
Latitude:	52.9150420243
Longitude:	13.8874377589

288. plot:	SEW34
category:	Schorfheide Wald
Latitude:	52.8958258919
Longitude:	13.8521470181

289. plot:	SEW35
category:	Schorfheide Wald
Latitude:	52.9112679466
Longitude:	13.8534187775

290. plot:	SEW36
category:	Schorfheide Wald
Latitude:	52.9513641654
Longitude:	13.7541425496

291. plot:	SEW37
category:	Schorfheide Wald
Latitude:	52.9400215749
Longitude:	13.7826121483

292. plot:	SEW38
category:	Schorfheide Wald
Latitude:	52.8884802265
Longitude:	13.6707369457

293. plot:	SEW39
category:	Schorfheide Wald
Latitude:	52.9247557336
Longitude:	13.8664454739

294. plot:	SEW40
category:	Schorfheide Wald
Latitude:	52.9147687623
Longitude:	13.8623651461

295. plot:	SEW41
category:	Schorfheide Wald
Latitude:	52.9122938399
Longitude:	13.9099253483

296. plot:	SEW42
category:	Schorfheide Wald
Latitude:	52.9027475084
Longitude:	13.9145343372

297. plot:	SEW43
category:	Schorfheide Wald
Latitude:	52.9009765233
Longitude:	13.9283255647

298. plot:	SEW44
category:	Schorfheide Wald
Latitude:	52.9184590159
Longitude:	13.859220603

299. plot:	SEW45
category:	Schorfheide Wald
Latitude:	53.0454545169
Longitude:	13.8378888408

300. plot:	SEW46
category:	Schorfheide Wald
Latitude:	53.0721224497
Longitude:	13.7774439698

301. plot:	SEW47
category:	Schorfheide Wald
Latitude:	53.0712780629
Longitude:	13.7713654294

302. plot:	SEW48
category:	Schorfheide Wald
Latitude:	53.0512659201
Longitude:	13.8449953984

303. plot:	SEW49
category:	Schorfheide Wald
Latitude:	52.885260427
Longitude:	13.8912306282

304. plot:	SEW50
category:	Schorfheide Wald
Latitude:	53.039528434
Longitude:	13.7870431421

